test_data_label,suggested_path,need_capture,memo
생성된 월드 1개 이상 필요,,N,키/좌표/상태값은 config.py에서 관리
B 키,,N,키/좌표/상태값은 config.py에서 관리
건축 모드 창 이미지,common/build_mode_window.png,Y,AirTest Template 이미지로 캡처 필요
ESC 키,,N,키/좌표/상태값은 config.py에서 관리
일반 화면 HUD 이미지,common/default_hud.png,Y,AirTest Template 이미지로 캡처 필요
설치 가능 건축물 이미지,items/buildable_item.png,Y,AirTest Template 이미지로 캡처 필요
테스트 월드,,N,키/좌표/상태값은 config.py에서 관리
생산 탭 이미지,tabs/production_tab.png,Y,AirTest Template 이미지로 캡처 필요
생산 탭 대표 건축물 이미지,tabs/production_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
팰 탭 이미지,tabs/pal_tab.png,Y,AirTest Template 이미지로 캡처 필요
팰 탭 대표 건축물 이미지,tabs/pal_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
수납 탭 이미지,tabs/storage_tab.png,Y,AirTest Template 이미지로 캡처 필요
수납 탭 대표 건축물 이미지,tabs/storage_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
식료품 탭 이미지,tabs/food_tab.png,Y,AirTest Template 이미지로 캡처 필요
식료품 탭 대표 건축물 이미지,tabs/food_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
인프라 탭 이미지,tabs/infra_tab.png,Y,AirTest Template 이미지로 캡처 필요
인프라 탭 대표 건축물 이미지,tabs/infra_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
조명 탭 이미지,tabs/lighting_tab.png,Y,AirTest Template 이미지로 캡처 필요
조명 탭 대표 건축물 이미지,tabs/lighting_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
건축 탭 이미지,tabs/architecture_tab.png,Y,AirTest Template 이미지로 캡처 필요
건축 탭 대표 구조물 이미지,items/건축_탭_대표_구조물_이미지.png,Y,AirTest Template 이미지로 캡처 필요
방어 탭 이미지,tabs/defense_tab.png,Y,AirTest Template 이미지로 캡처 필요
방어 탭 대표 건축물 이미지,tabs/defense_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
가구 탭 이미지,tabs/furniture_tab.png,Y,AirTest Template 이미지로 캡처 필요
가구 탭 대표 건축물 이미지,tabs/furniture_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
기타 탭 이미지,tabs/misc_tab.png,Y,AirTest Template 이미지로 캡처 필요
기타 탭 대표 건축물 이미지,tabs/misc_representative_item.png,Y,AirTest Template 이미지로 캡처 필요
원시적인 작업대_IMAGE,items/원시적인_작업대_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
건축 프리뷰 UI 이미지,preview/build_preview_ui.png,Y,AirTest Template 이미지로 캡처 필요
프리뷰 조작 안내 이미지,preview/build_preview_control.png,Y,AirTest Template 이미지로 캡처 필요
건축 입력,,N,키/좌표/상태값은 config.py에서 관리
F 키,,N,키/좌표/상태값은 config.py에서 관리
회전 입력,,N,키/좌표/상태값은 config.py에서 관리
왼쪽 Ctrl 키,,N,키/좌표/상태값은 config.py에서 관리
건축물 선택 목록 복귀 입력,,N,키/좌표/상태값은 config.py에서 관리
Tab 키,,N,키/좌표/상태값은 config.py에서 관리
수리대_IMAGE,items/수리대_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
팰 상자_IMAGE,items/팰_상자_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
설치 불가 건축물 이미지,items/not_buildable_item.png,Y,AirTest Template 이미지로 캡처 필요
나무 벽걸이 선반_IMAGE,items/나무_벽걸이_선반_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
Alt 키,,N,키/좌표/상태값은 config.py에서 관리
강철 벽걸이 선반_IMAGE,items/강철_벽걸이_선반_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
벽 설치 fixture 위치,,N,키/좌표/상태값은 config.py에서 관리
나무벽걸이선반벽면설치가능_IMAGE,items/나무벽걸이선반벽면설치가능_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
중앙 클릭 또는 기준 좌표,items/중앙_클릭_또는_기준_좌표.png,Y,AirTest Template 이미지로 캡처 필요
강철벽걸이선반벽면설치가능_IMAGE,items/강철벽걸이선반벽면설치가능_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
모닥불_IMAGE,items/모닥불_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
하급 침대_IMAGE,items/하급_침대_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
벽걸이 횃불_IMAGE,items/벽걸이_횃불_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
벽걸이횃불벽면설치가능_IMAGE,items/벽걸이횃불벽면설치가능_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
나무 피라미드 지붕_IMAGE,items/나무_피라미드_지붕_IMAGE.png,Y,AirTest Template 이미지로 캡처 필요
4 키,,N,키/좌표/상태값은 config.py에서 관리
