case_id,case_name,test_area,module,priority,automation_status,step_count
PW-BLD-001,건축모드 창 열기,Building/Mode,BuildMode,High,Candidate,3
PW-BLD-002,건축모드 창 닫기,Building/Mode,BuildMode,High,Candidate,3
PW-BLD-003,프리뷰취소후재진입,Building/Mode,BuildMode,High,Candidate,4
PW-BLD-004,건축모드중복진입,Building/Mode,BuildMode,Medium,Candidate,3
PW-BLD-005,생산탭클릭,Building/Mode,Production,High,Candidate,3
PW-BLD-006,팰탭클릭,Building/Tab,Pal,High,Candidate,3
PW-BLD-007,수납탭클릭,Building/Tab,Storage,High,Candidate,3
PW-BLD-008,식료품탭클릭,Building/Tab,Food,High,Candidate,3
PW-BLD-009,인프라탭클릭,Building/Tab,Infrastructure,High,Candidate,3
PW-BLD-010,조명탭클릭,Building/Tab,Lighting,High,Candidate,3
PW-BLD-011,건축탭클릭,Building/Tab,Architecture,High,Candidate,3
PW-BLD-012,방어탭클릭,Building/Tab,Defense,High,Candidate,3
PW-BLD-013,가구탭클릭,Building/Tab,Furniture,High,Candidate,3
PW-BLD-014,기타탭클릭,Building/Tab,Misc,High,Candidate,3
PW-BLD-015,원시적인 작업대 프리뷰 확인,Building/Production,Preview,High,Candidate,4
PW-BLD-016,원시적인 작업대 건축 입력 확인,Building/Production,PreviewControl,High,Candidate,5
PW-BLD-017,원시적인 작업대 회전 입력 확인,Building/Production,PreviewControl,High,Candidate,5
PW-BLD-018,원시적인 작업대 LCtrl 스냅 정렬 확인,Building/Production,PreviewControl,High,Candidate,5
PW-BLD-019,원시적인 작업대 건축물 선택으로 돌아가기 확인,Building/Production,PreviewControl,High,Candidate,5
PW-BLD-020,원시적인 작업대 ESC 건축 중단 확인,Building/Production,PreviewControl,High,Candidate,5
PW-BLD-021,원시적인 작업대 Tab 건축 중단 확인,Building/Production,PreviewControl,High,Candidate,5
PW-BLD-022,수리대 프리뷰,Building/Production,Preview,High,Candidate,4
PW-BLD-023,수리대 건축 입력 확인,Building/Production,PreviewControl,High,Manual,5
PW-BLD-024,수리대 회전 입력 확인,Building/Production,PreviewControl,High,Manual,5
PW-BLD-025,수리대 LCtrl 스냅 정렬 확인,Building/Production,PreviewControl,High,Manual,5
PW-BLD-026,수리대 건축물 선택으로 돌아가기 확인,Building/Production,PreviewControl,High,Manual,5
PW-BLD-027,수리대 ESC 건축 중단 확인,Building/Production,PreviewControl,High,Manual,5
PW-BLD-028,수리대 Tab 건축 중단 확인,Building/Production,PreviewControl,High,Manual,5
PW-BLD-029,팰 상자 설치가능 1개 프리뷰,Building/Production,Preview,High,Candidate,4
PW-BLD-030,팰 상자 설치가능 1개 건축 입력 확인,Building/Pal,PreviewControl,High,Manual,5
PW-BLD-031,팰 상자 설치가능 1개 회전 입력 확인,Building/Pal,PreviewControl,High,Manual,5
PW-BLD-032,팰 상자 LCtrl 스냅 정렬 확인,Building/Pal,PreviewControl,High,Manual,5
PW-BLD-033,팰 상자 건축물 선택으로 돌아가기 확인,Building/Pal,PreviewControl,High,Manual,5
PW-BLD-034,팰 상자 ESC 건축 중단 확인,Building/Pal,PreviewControl,High,Manual,5
PW-BLD-035,팰 상자 Tab 건축 중단 확인,Building/Pal,PreviewControl,High,Manual,5
PW-BLD-036,팰 상자 한도 제한 건축물 차단,Building/Pal,Limit,Medium,Candidate,5
PW-BLD-037,팰 상자 상태분류,Building/Pal,Preview,Medium,Candidate,4
PW-BLD-038,나무 벽걸이 선반 프리뷰,Building/Pal,Preview,Medium,Candidate,4
PW-BLD-039,나무 벽걸이 선반 건축 입력 확인,Building/Storage,PreviewControl,High,Candidate,5
PW-BLD-040,나무 벽걸이 선반 회전 입력 확인,Building/Storage,PreviewControl,High,Candidate,5
PW-BLD-041,나무 벽걸이 선반 Alt 스냅 변경 확인,Building/Storage,PreviewControl,High,Candidate,5
PW-BLD-042,나무 벽걸이 선반 건축물 선택으로 돌아가기 확인,Building/Storage,PreviewControl,High,Candidate,5
PW-BLD-043,나무 벽걸이 선반 ESC 건축 중단 확인,Building/Storage,PreviewControl,High,Candidate,5
PW-BLD-044,나무 벽걸이 선반 Tab 건축 중단 확인,Building/Storage,PreviewControl,High,Candidate,5
PW-BLD-045,강철 벽걸이 선반 프리뷰,Building/Storage,Preview,Medium,Candidate,4
PW-BLD-046,강철 벽걸이 선반 건축 입력 확인,Building/Storage,PreviewControl,High,Manual,5
